day,BTCUSDT,ETHUSDT
2021-10-03,47981.2,3411.58
2021-10-03,47972.31,3410.52
2021-10-03,48003.83,3411.93
2021-10-03,47954.11,3405.4
2021-10-03,47960.42,3408.02
2021-10-03,47974.86,3413.9
2021-10-03,47939.48,3411.49
2021-10-03,47933.97,3413.38
2021-10-03,47985.53,3417.44
2021-10-03,47999.95,3415.99
2021-10-03,47819.34,3402.05
2021-10-03,47853.4,3408.39
2021-10-03,47928.23,3413.74
2021-10-03,47939.21,3411.38
2021-10-03,47990.97,3414.71
2021-10-03,48031.58,3419.0
2021-10-03,48001.63,3415.03
2021-10-03,47964.43,3408.98
2021-10-03,47962.57,3411.74
2021-10-03,47874.23,3406.29
2021-10-03,47915.99,3417.01
2021-10-03,47983.75,3424.63
2021-10-03,48008.58,3436.51
2021-10-03,48040.76,3433.26
2021-10-03,47985.49,3428.3
2021-10-03,48067.68,3431.0
2021-10-03,48136.53,3444.8
2021-10-03,48078.94,3439.93
2021-10-03,48080.08,3438.19
2021-10-03,48052.5,3437.05
2021-10-03,48013.0,3427.63
2021-10-03,48017.41,3429.63
2021-10-03,48037.67,3433.29
2021-10-03,48000.23,3427.29
2021-10-03,47990.86,3428.26
2021-10-03,47990.28,3429.49
2021-10-03,47970.59,3427.83
2021-10-03,47985.06,3426.35
2021-10-03,47999.99,3428.99
2021-10-03,47996.05,3430.95
2021-10-03,47939.97,3421.96
2021-10-03,47965.64,3425.99
2021-10-03,47912.99,3418.3
2021-10-03,47958.66,3422.82
2021-10-03,47993.7,3420.45
2021-10-03,48008.62,3424.49
2021-10-03,47929.99,3412.83
2021-10-03,47893.59,3403.55
2021-10-03,47911.44,3404.6
2021-10-03,47882.74,3399.21
2021-10-03,47807.78,3395.74
2021-10-03,47827.81,3402.57
2021-10-03,47850.01,3402.92
2021-10-03,47879.82,3404.75
2021-10-03,47892.05,3410.11
2021-10-03,47828.48,3402.46
2021-10-03,47864.43,3405.06
2021-10-03,47927.99,3414.74
2021-10-03,47940.49,3421.51
2021-10-03,47959.2,3419.83
2021-10-03,47924.43,3415.41
2021-10-03,47900.09,3413.87
2021-10-03,47950.15,3416.08
2021-10-03,48021.16,3419.36
2021-10-03,48059.63,3425.06
2021-10-03,48034.99,3420.08
2021-10-03,48004.05,3416.53
2021-10-03,48049.01,3419.03
2021-10-03,48095.48,3426.14
2021-10-03,48054.76,3423.43
2021-10-03,48069.5,3423.86
2021-10-03,48053.84,3419.53
2021-10-03,48050.0,3414.72
2021-10-03,48006.62,3409.7
2021-10-03,48017.55,3414.9
2021-10-03,48492.65,3439.98
2021-10-03,48890.69,3458.49
2021-10-03,48910.24,3464.71
2021-10-03,49128.99,3481.01
2021-10-03,48958.83,3473.03
2021-10-03,48804.15,3462.89
2021-10-03,48792.95,3462.0
2021-10-03,48907.06,3472.07
2021-10-03,48979.25,3473.91
2021-10-03,48919.11,3468.85
2021-10-03,48940.02,3474.22
2021-10-03,48942.0,3475.06
2021-10-03,48833.91,3468.61
2021-10-03,48823.69,3467.73
2021-10-03,48822.03,3464.03
2021-10-03,48817.51,3469.0
2021-10-03,48879.89,3471.86
2021-10-03,48891.66,3475.01
2021-10-03,48895.94,3470.33
2021-10-03,48920.34,3472.02
2021-10-03,48864.45,3471.93
2021-10-03,48900.0,3479.41
2021-10-03,48899.65,3478.14
2021-10-03,48908.68,3479.25
2021-10-03,48850.02,3476.73
2021-10-03,48778.85,3469.38
2021-10-03,48774.76,3467.43
2021-10-03,48813.47,3470.8
